Rank,Entry ID,Entry Name,Points,Prize,Lineup,Player,Roster Position,% Drafted,FPTS
1,12001,CourtVision88,192.00,$25.00,QB Atlas Common | RB Beacon Birch | WR Nova North,Atlas Common,QB,72.0%,29.0
2,12002,MapleLineup,188.00,$10.00,QB Atlas Common | RB Beacon Birch | WR Prism Peak,Beacon Birch,RB,28.0%,21.0
3,12003,SalarySavant,184.00,$5.00,QB Atlas Common | RB Delta Dawn | WR River Rush,Comet Core,QB,20.0%,24.0
4,12004,NorthStarDFS,178.00,$0.00,QB Atlas Common | RB Comet Core | WR Zephyr Solo,Zephyr Solo,WR,3.0%,10.0
5,12005,FourthQuarter,169.00,$0.00,QB Atlas Common | RB Anchor Low | WR River Rush,Nova North,WR,26.0%,18.0
6,12006,FieldEntryOne,166.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,Prism Peak,WR,14.0%,17.0
7,12007,FieldEntryTwo,163.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,Delta Dawn,RB,11.0%,15.0
8,12008,FieldEntryThree,159.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,River Rush,WR,19.0%,13.0
9,12009,FieldEntryFour,154.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,Anchor Low,RB,4.0%,6.0
10,12010,FieldEntryFive,149.00,$0.00,QB Field Quarter | RB Field Runner | WR Field Catch,Field Quarter,QB,10.0%,16.0
